name,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,far,p_astro,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW250120_042414,,,,,,,8.7,,,,,,,,,,,,,,,,,,1.6,0.89,,,
GW250119_190238,11.54,-0.81,1.95,9.95,-1.56,0.77,21.3,,,311.0,-68.0,289.0,0.09,-0.03,0.05,21.64,-1.03,0.55,9.38,-0.48,0.14,0.07,-0.01,0.06,1e-05,0.99,20.56,-0.97,0.57
GW250119_025138,33.8,-4.8,6.3,26.7,-6.3,5.6,14.5,,,3100.0,-1300.0,1100.0,0.06,-0.18,0.18,59.9,-5.4,8.8,25.7,-2.5,4.0,0.52,-0.19,0.15,1e-05,0.99,57.1,-5.0,8.2
GW250118_170523,38.1,-5.6,8.1,29.6,-6.3,5.4,13.9,,,1910.0,-740.0,800.0,0.12,-0.19,0.18,67.8,-6.7,7.9,29.0,-2.9,3.5,0.35,-0.12,0.12,1e-05,0.99,64.4,-6.2,7.3
GW250118_055802,10.3,-1.8,7.5,6.9,-2.6,1.5,10.5,,,940.0,-380.0,630.0,0.11,-0.09,0.24,17.5,-1.6,4.7,7.36,-0.63,0.45,0.19,-0.07,0.11,0.0089,0.99,16.6,-1.5,4.9
GW250118_023225,44.0,-10.0,15.0,31.0,-11.0,11.0,9.0,,,5800.0,-2900.0,3800.0,0.04,-0.31,0.28,74.0,-13.0,20.0,31.1,-6.0,8.9,0.88,-0.39,0.45,0.0035,0.99,71.0,-13.0,19.0
GW250116_051426,,,,,,,7.9,,,,,,,,,,,,,,,,,,4.8,0.63,,,
GW250116_015318,34.2,-9.3,14.5,21.3,-8.3,8.8,8.0,,,5200.0,-2500.0,3900.0,0.15,-0.33,0.31,56.0,-11.0,16.0,23.0,-5.0,6.9,0.8,-0.33,0.47,0.12,0.99,53.0,-11.0,15.0
GW250114_082203,33.76,-0.9,1.28,32.26,-1.47,0.95,78.6,,,405.0,-73.0,84.0,-0.03,-0.05,0.04,66.0,-1.2,1.1,28.71,-0.51,0.5,0.09,-0.01,0.02,1e-05,0.99,62.9,-1.1,1.0
GW250109_083206,,,,,,,10.5,,,,,,,,,,,,,,,,,,1.4,0.99,,,
GW250109_074552,39.0,-6.3,8.3,30.2,-7.2,6.8,10.7,,,2300.0,-1100.0,1400.0,0.07,-0.2,0.2,69.2,-8.6,10.5,29.6,-3.8,4.7,0.41,-0.18,0.2,0.42,0.95,65.9,-8.1,9.8
GW250109_010541,37.5,-7.1,14.7,27.4,-8.9,8.0,13.1,,,3400.0,-1700.0,1700.0,-0.11,-0.29,0.27,64.9,-8.6,14.7,27.4,-3.9,6.4,0.56,-0.25,0.22,1e-05,0.99,62.2,-8.2,14.0
GW250108_152221,54.0,-12.0,15.0,36.0,-10.0,10.0,11.8,,,3800.0,-1900.0,2400.0,0.05,-0.28,0.28,90.0,-13.0,17.0,37.6,-5.5,7.7,0.63,-0.28,0.3,0.00015,0.99,86.0,-12.0,17.0
GW250105_134047,,,,,,,8.7,,,,,,,,,,,,,,,,,,10.0,0.51,,,
GW250104_015122,45.8,-8.8,11.0,34.5,-9.9,10.7,12.1,,,4800.0,-2300.0,2500.0,0.11,-0.23,0.22,80.0,-11.0,18.0,33.9,-5.2,8.1,0.76,-0.32,0.31,1e-05,0.99,76.0,-11.0,17.0
GW250101_011205,30.0,-5.8,8.8,21.1,-7.2,5.9,9.8,,,3200.0,-1500.0,1700.0,-0.05,-0.31,0.24,50.8,-6.6,9.3,21.5,-3.3,4.1,0.54,-0.23,0.23,0.02,0.99,48.7,-6.2,8.8
