Name,LUMG,P,PdotCor,EdotCor,"BdotS,Cor",ECut_HYB,NAME,TSband
J0002+6216,9.01e+33,115.36,5.97e-15,1.5299999999999998e+35,840000000000.0,2.55,J0002+6216,1.4661104679107666
J0007+7303,1.01e+35,315.89,3.56e-13,4.46e+35,10700000000000.0,4.8,J0007+7303,18.01445770263672
J0023+0923,3.03e+33,3.05,8.880000000000001e-21,1.24e+34,167000000.0,2.54,J0023+0923,2.6102874279022217
J0030+0451,7.43e+32,4.87,1.05e-20,3.6e+33,229000000.0,2.35,J0030+0451,13.118520736694336
J0034-0534,4.38e+33,1.88,4.47e-21,2.66e+34,92800000.0,3.61,J0034-0534,10.690314292907715
J0101-6422,1.56e+33,2.57,3.44e-21,8.01e+33,95200000.0,2.54,J0101-6422,6.588674545288086
J0102+4839,9.59e+33,2.96,1.16e-20,1.7600000000000002e+34,187000000.0,3.85,J0102+4839,2.1840813159942627
J0106+4855,2.16e+34,83.16,4.28e-16,2.94e+34,191000000000.0,2.99,J0106+4855,2.0584449768066406
J0205+6449,7.88e+34,65.75,1.92e-13,2.67e+37,3600000000000.0,4.12,J0205+6449,7.503277778625488
J0218+4232,5.7400000000000005e+34,2.32,7.65e-20,2.42e+35,426000000.0,4.56,J0218+4232,14.478781700134277
J0248+4230,7.95e+32,2.6,1.68e-20,3.78e+34,212000000.0,1.58,J0248+4230,0
J0248+6021,1.41e+34,217.12,5.52e-14,2.13e+35,3500000000000.0,1.38,J0248+6021,2.739530563354492
J0251+2606,7.990000000000001e+32,2.54,5.290000000000001e-21,1.28e+34,117000000.0,2.21,J0251+2606,1.0945535898208618
J0307+7443,2.93e+32,3.16,1.71e-20,2.17e+34,235000000.0,1.72,J0307+7443,2.115001916885376
J0312-0921,4.43e+32,3.7,1.25e-20,9.700000000000001e+33,217000000.0,1.65,J0312-0921,0.431372731924057
J0318+0253,1.33e+33,5.19,1.76e-20,4.98e+33,306000000.0,2.2,J0318+0253,1.1844077110290527
J0340+4130,5.94e+33,3.3,5.53e-21,6.079999999999999e+33,137000000.0,3.34,J0340+4130,1.6963105201721191
J0418+6635,6.02e+33,2.91,1.37e-20,2.1900000000000003e+34,202000000.0,4.09,J0418+6635,1.6797300577163696
J0437-4715,5.17e+31,5.76,1.4e-20,2.89e+33,287000000.0,0.7,J0437-4715,14.809799194335938
J0514-4408,6.23e+32,320.27,2.04e-15,2.45e+33,818000000000.0,0.85,J0514-4408,4.368493556976318
J0533+6759,6.379999999999999e+33,4.39,1.26e-20,5.9e+33,238000000.0,3.61,J0533+6759,2.799834966659546
J0605+3757,3.56e+31,2.73,4.72e-21,9.17e+33,115000000.0,1.55,J0605+3757,0
J0610-2100,4.19e+33,3.86,5.100000000000001e-21,3.5e+33,142000000.0,1.99,J0610-2100,3.809743881225586
J0613-0200,2.78e+33,3.06,8.880000000000001e-21,1.22e+34,167000000.0,3.06,J0613-0200,8.142389297485352
J0614-3329,5.44e+33,3.15,1.8e-20,2.27e+34,241000000.0,4.06,J0614-3329,18.15029525756836
J0621+2514,1.3099999999999998e+33,2.72,2.49e-20,4.87e+34,263000000.0,1.47,J0621+2514,0.3885609209537506
J0631+0646,4.03e+34,110.98,3.62e-15,1.04e+35,641000000000.0,2.66,J0631+0646,0.4464627504348755
J0631+1036,1.61e+34,287.82,1.03e-13,1.7e+35,5500000000000.0,3.39,J0631+1036,3.7286581993103027
J0633+1746,1.82e+34,237.1,1.1e-14,3.25e+34,1630000000000.0,2.79,J0633+1746,141.31082153320312
J0653+4706,1.95e+32,4.75,2.08e-20,7.61e+33,318000000.0,0.93,J0653+4706,0
J0729-1448,5.16e+33,251.71,1.13e-13,2.81e+35,5410000000000.0,4.43,J0729-1448,0.49634644389152527
J0740+6620,4.48e+32,2.88,3.7e-21,6.12e+33,104000000.0,2.91,J0740+6620,1.2216681241989136
J0751+1807,1.48e+33,3.48,5.930000000000001e-21,5.56e+33,145000000.0,1.96,J0751+1807,0.14644399285316467
J0931-1902,2.39e+33,4.64,3.3200000000000002e-21,1.3099999999999998e+33,126000000.0,0.75,J0931-1902,0.487638384103775
J0940-5428,2.97e+32,87.56,3.28e-14,1.93e+36,1710000000000.0,2.5,J0940-5428,0.2848094403743744
J0952-0607,1.0999999999999999e+34,1.41,4.76e-21,6.6500000000000005e+34,82900000.0,1.47,J0952-0607,0
J0955-6150,4.36e+33,1.99,1.46e-20,7.33e+34,173000000.0,3.42,J0955-6150,1.3692553043365479
J1012-4235,9.32e+31,3.1,6.550000000000001e-21,8.68e+33,144000000.0,5.3,J1012-4235,1.9192214012145996
J1016-5857,8.38e+34,107.4,8.04e-14,2.56e+36,2970000000000.0,3.92,J1016-5857,0.549286961555481
J1019-5749,3.88e+35,162.51,2.01e-14,1.85e+35,1830000000000.0,5.82,J1019-5749,0.7788713574409485
J1024-0719,7.67e+32,5.16,1.86e-20,5.33e+33,313000000.0,2.57,J1024-0719,2.337763786315918
J1028-5819,5.940000000000001e+34,91.4,1.42e-14,7.339999999999999e+35,1150000000000.0,3.99,J1028-5819,4.586716175079346
J1035-6720,4.81e+33,2.87,4.56e-20,7.62e+34,366000000.0,2.2,J1035-6720,0.23614810407161713
J1036-8317,2.29e+33,3.41,2.9e-20,2.88e+34,318000000.0,2.57,J1036-8317,0
J1048+2339,1.02e+33,4.67,2.51e-20,9.73e+33,347000000.0,4.5,J1048+2339,3.565492630004883
J1055-6028,3.36e+34,99.66,1.09e-12,4.329999999999999e+37,10500000000000.0,3.9,J1055-6028,0.20845241844654083
J1105-6107,1.56e+34,63.2,1.58e-14,2.48e+36,1010000000000.0,3.59,J1105-6107,0.7119598984718323
J1112-6103,5.33e+34,64.97,3.15e-14,4.54e+36,1450000000000.0,5.78,J1112-6103,0
J1119-6127,3.71e+35,409.14,4.04e-12,2.33e+36,41200000000000.0,2.49,J1119-6127,0.36953118443489075
J1124-3653,1.46e+33,2.41,5.91e-21,1.67e+34,121000000.0,3.45,J1124-3653,2.453138828277588
J1124-5916,1.6799999999999998e+35,135.54,7.51e-13,1.19e+37,10200000000000.0,4.08,J1124-5916,5.432439804077148
J1125-5825,2.35e+33,3.1,6e-20,7.950000000000001e+34,436000000.0,3.28,J1125-5825,0
J1125-6014,3.61e+32,2.63,2.08e-21,4.51e+33,74800000.0,1.73,J1125-6014,0
J1137+7528,1.06e+33,2.51,3.2e-21,7.96e+33,90700000.0,1.73,J1137+7528,0
J1142+0119,3.63e+33,5.08,1.5e-20,4.52e+33,279000000.0,3.87,J1142+0119,2.363635301589966
J1151-6108,6.099999999999999e+33,101.63,1.03e-14,3.87e+35,1030000000000.0,2.45,J1151-6108,0
J1207-5050,9.2e+32,4.84,5.880000000000001e-21,2.05e+33,171000000.0,1.74,J1207-5050,0.027983317151665688
J1221-0633,1.09e+33,1.93,1.09e-20,5.920000000000001e+34,146000000.0,3.13,J1221-0633,2.466735601425171
J1227-4853,6.98e+33,1.69,1.07e-20,8.73e+34,136000000.0,5.5,J1227-4853,2.343266725540161
J1231-1411,2.13e+33,3.68,7.18e-21,5.69e+33,164000000.0,2.55,J1231-1411,11.277474403381348
J1253-5820,1.37e+33,255.5,2.11e-15,4.98e+33,742000000000.0,0.82,J1253-5820,0.6386910676956177
J1301+0833,2.88e+33,1.84,6.890000000000001e-21,4.370000000000001e+34,114000000.0,2.48,J1301+0833,4.157002925872803
J1302-3258,2.67e+33,3.77,4.9e-21,3.61e+33,138000000.0,2.41,J1302-3258,1.9083935022354126
J1311-3430,1.81e+34,2.56,2.05e-20,4.8300000000000005e+34,232000000.0,5.06,J1311-3430,17.472030639648438
J1312+0051,3.78e+33,4.23,8.7e-21,4.54e+33,194000000.0,1.93,J1312+0051,2.4495835304260254
J1357-6429,3.39e+34,166.19,3.54e-13,3.05e+36,7770000000000.0,1.92,J1357-6429,0.9560235738754272
J1400-1431,5.93e+31,3.08,3.6200000000000004e-21,4.89e+33,107000000.0,1.98,J1400-1431,0.5329344868659973
J1410-6132,4.98e+35,50.06,3.18e-14,1e+37,1280000000000.0,2.24,J1410-6132,0.8946872353553772
J1418-6058,9.1e+34,110.58,1.71e-13,4.99e+36,4400000000000.0,3.6,J1418-6058,0.47357621788978577
J1420-6048,4.9e+35,68.21,8.24e-14,1.03e+37,2400000000000.0,3.21,J1420-6048,0.5878438353538513
J1431-4715,1.7399999999999998e+33,2.01,1.12e-20,5.43e+34,152000000.0,2.16,J1431-4715,1.3618594408035278
J1446-4701,2.26e+33,2.19,9.63e-21,3.62e+34,147000000.0,3.86,J1446-4701,3.6543571949005127
J1455-3330,6.36e+31,7.99,2.37e-20,1.83e+33,440000000.0,1.45,J1455-3330,0
J1509-5850,1.66e+35,88.92,9.2e-15,5.17e+35,915000000000.0,4.1,J1509-5850,1.2744601964950562
J1513-2550,1.43e+34,2.12,2.09e-20,8.68e+34,213000000.0,3.14,J1513-2550,1.5764442682266235
J1514-4946,4.13e+33,3.59,1.71e-20,1.46e+34,251000000.0,4.39,J1514-4946,2.032031536102295
J1531-5610,1.7600000000000002e+34,84.21,1.38e-14,9.12e+35,1090000000000.0,1.38,J1531-5610,0
J1536-4948,9.14e+33,3.08,2.07e-20,2.79e+34,255000000.0,5.84,J1536-4948,5.35058069229126
J1543-5149,2.78e+33,2.06,1.6e-20,7.22e+34,184000000.0,3.3,J1543-5149,0
J1544+4937,2.53e+33,2.16,2.14e-21,8.4e+33,68800000.0,3.53,J1544+4937,0
J1552+5437,2.28e+33,2.43,2.82e-21,7.789999999999999e+33,83800000.0,3.39,J1552+5437,1.15743887424469
J1555-2908,1.45e+34,1.79,4.45e-20,3.08e+35,286000000.0,3.97,J1555-2908,1.5625046491622925
J1600-3053,3.42e+33,3.6,8.52e-21,7.209999999999999e+33,177000000.0,3.08,J1600-3053,0.7328696250915527
J1614-2230,1.5199999999999998e+33,3.15,3.9800000000000006e-21,5.03e+33,113000000.0,2.08,J1614-2230,0.4312482178211212
