NAME,LUMG,P0,P1corr,EDOTcorr,B_S,ECut_HYB,TSband
J0023+0923,3.0287848130635106e+33,0.0030499999,8.877168104456352e-21,1.2351926691412872e+34,184067869.49802348,2.54,2.6102874279022217
J0030+0451,7.428748015560652e+32,0.0048699998,1.053705702312126e-20,3.601573124509219e+33,225235406.4714137,2.35,13.118520736694336
J0034-0534,4.381005771164999e+33,0.00188,4.472542515917632e-21,2.6573004837054365e+34,97877979.31432396,3.61,10.690314292907715
J0101-6422,1.5623915804187462e+33,0.00257,3.444678109758289e-21,8.011410991098656e+33,112382938.70606706,2.54,6.588674545288086
J0102+4839,9.588008764893156e+33,0.00296,1.1555419129589411e-20,1.7590180908865804e+34,188300724.21508327,3.85,2.1840813159942627
J0218+4232,5.737234338840023e+34,0.00232,7.652572568990171e-20,2.4193752788962583e+35,428765169.6589155,4.56,14.478781700134277
J0251+2606,7.986715872983858e+32,0.00254,5.294601486008019e-21,1.2755334849078268e+34,140266693.88663188,2.21,1.0945535898208618
J0312-0921,4.4273749285921406e+32,0.0037,1.2451616719472527e-20,9.704659639127701e+33,273336912.89061004,1.65,0.431372731924057
J0340+4130,5.937729856854212e+33,0.0033,5.534749555384084e-21,6.080172365055081e+33,141187477.70935404,3.34,1.6963105201721191
J0437-4715,5.1653633252206345e+31,0.0057600001,1.3985816534121124e-20,2.889216528552538e+33,581226772.6352175,0.7,14.809799194335938
J0610-2100,4.1862252537540887e+33,0.0038600001,5.102361388762091e-21,3.5024262921144116e+33,220722853.59125674,1.99,3.809743881225586
J0613-0200,2.77719162213573e+33,0.00306,8.876083599885363e-21,1.2229729217306463e+34,173335898.5635425,3.06,8.142389297485352
J0614-3329,5.442666815305519e+33,0.00315,1.7963490219150953e-20,2.268917982630246e+34,239595403.4337969,4.06,18.15029525756836
J0740+6620,4.479781156756598e+32,0.00288,3.701169232436154e-21,6.116756845587312e+33,189603894.8231003,2.91,1.2216681241989136
J0751+1807,1.4832406081025476e+33,0.00348,5.931238294024619e-21,5.556065763046553e+33,166563907.74671838,1.96,0.14644399285316467
J0931-1902,2.3877777709837744e+33,0.0046399999,3.3212533211138263e-21,1.3125257269926676e+33,131255463.12462464,0.75,0.487638384103775
J0955-6150,4.361565832266316e+33,0.00199,1.4624551675329942e-20,7.326272511964895e+34,170451727.43279046,3.42,1.3692553043365479
J1012-4235,9.315387021602372e+31,0.0031000001,6.552421008227374e-21,8.683132081799686e+33,144255020.46489438,5.3,1.9192214012145996
J1024-0719,7.668775734156683e+32,0.0051600002,-3.5331310480495835e-20,-1.0152437569768589e+34,313091229.2184279,2.57,2.337763786315918
J1035-6720,4.8077758808090906e+33,0.00287,4.5605859649344196e-20,7.616136041008813e+34,369477215.3496013,2.2,0.23614810407161713
