Name,LUMG,P,PdotCor,EdotCor,"BdotS,Cor",ECut_HYB,n_ECut_HYB
J0002+6216,9.01e+33,115.36,5.97e-15,1.5299999999999998e+35,840000000000.0,2.55,206.0
J0007+7303,1.01e+35,315.89,3.56e-13,4.46e+35,10700000000000.0,4.8,3457.2
J0023+0923,3.03e+33,3.05,8.880000000000001e-21,1.24e+34,167000000.0,2.54,175.6
J0030+0451,7.43e+32,4.87,1.05e-20,3.5999999999999997e+33,229000000.0,2.35,2141.8
J0034-0534,4.38e+33,1.88,4.47e-21,2.66e+34,92800000.0,3.61,308.0
J0101-6422,1.56e+33,2.57,3.44e-21,8.01e+33,95200000.0,2.54,483.7
J0102+4839,9.59e+33,2.96,1.16e-20,1.7600000000000002e+34,187000000.0,3.85,155.4
J0106+4855,2.16e+34,83.16,4.28e-16,2.94e+34,191000000000.0,2.99,314.3
J0205+6449,7.88e+34,65.75,1.92e-13,2.67e+37,3600000000000.0,4.12,55.2
J0218+4232,5.7400000000000005e+34,2.32,7.65e-20,2.4199999999999997e+35,426000000.0,4.56,428.2
J0248+4230,7.95e+32,2.6,1.68e-20,3.78e+34,212000000.0,1.58,62.3
J0248+6021,1.41e+34,217.12,5.52e-14,2.13e+35,3500000000000.0,1.38,515.6
J0251+2606,7.990000000000001e+32,2.54,5.290000000000001e-21,1.28e+34,117000000.0,2.21,126.8
J0307+7443,2.93e+32,3.16,1.71e-20,2.17e+34,235000000.0,1.72,593.5
J0312-0921,4.43e+32,3.7,1.25e-20,9.7e+33,217000000.0,1.65,183.1
J0318+0253,1.33e+33,5.19,1.76e-20,4.98e+33,306000000.0,2.2,175.4
J0340+4130,5.94e+33,3.3,5.53e-21,6.079999999999999e+33,137000000.0,3.34,243.4
J0418+6635,6.02e+33,2.91,1.37e-20,2.1900000000000003e+34,202000000.0,4.09,85.4
J0437-4715,5.17e+31,5.76,1.4e-20,2.8899999999999997e+33,287000000.0,0.7,1019.6
J0514-4408,6.23e+32,320.27,2.04e-15,2.4499999999999998e+33,818000000000.0,0.85,199.7
J0533+6759,6.379999999999999e+33,4.39,1.26e-20,5.9e+33,238000000.0,3.61,143.7
J0534+2200,6.85e+35,33.65,4.2e-13,4.35e+38,3810000000000.0,8.26,1217.8
J0540-6919,7.889999999999999e+36,50.65,4.79e-13,1.46e+38,4980000000000.0,5.41,101.7
J0605+3757,3.5599999999999997e+31,2.73,4.72e-21,9.169999999999999e+33,115000000.0,1.55,185.0
J0610-2100,4.1899999999999996e+33,3.86,5.100000000000001e-21,3.5e+33,142000000.0,1.99,249.0
J0613-0200,2.78e+33,3.06,8.880000000000001e-21,1.22e+34,167000000.0,3.06,387.2
J0614-3329,5.44e+33,3.15,1.8e-20,2.27e+34,241000000.0,4.06,2046.2
J0621+2514,1.3099999999999998e+33,2.72,2.49e-20,4.87e+34,263000000.0,1.47,36.6
J0631+0646,4.03e+34,110.98,3.62e-15,1.04e+35,641000000000.0,2.66,92.1
J0631+1036,1.61e+34,287.82,1.03e-13,1.7e+35,5500000000000.0,3.39,198.3
J0633+1746,1.8200000000000002e+34,237.1,1.1e-14,3.25e+34,1630000000000.0,2.79,56579.4
J0653+4706,1.95e+32,4.75,2.08e-20,7.61e+33,318000000.0,0.93,59.2
J0659+1414,2.64e+32,384.92,5.5e-14,3.8e+34,4650000000000.0,1.74,177.5
J0729-1448,5.1599999999999996e+33,251.71,1.13e-13,2.8099999999999998e+35,5410000000000.0,4.43,10.6
J0740+6620,4.48e+32,2.88,3.7e-21,6.12e+33,104000000.0,2.91,72.1
J0742-2822,7.28e+33,166.77,1.67e-14,1.42e+35,1690000000000.0,3.26,151.1
J0751+1807,1.48e+33,3.48,5.930000000000001e-21,5.56e+33,145000000.0,1.96,176.2
J0835-4510,8.720000000000001e+34,89.37,1.22e-13,6.76e+36,3350000000000.0,3.87,44236.6
J0908-4913,2.6199999999999997e+33,106.77,1.51e-14,4.8999999999999995e+35,1290000000000.0,1.48,186.5
J0922+0638,3.12e+32,430.62,1.37e-14,6.77e+33,2460000000000.0,8.86,1.6
J0931-1902,2.39e+33,4.64,3.3200000000000002e-21,1.3099999999999998e+33,126000000.0,0.75,36.2
J0940-5428,2.97e+32,87.56,3.28e-14,1.9299999999999998e+36,1710000000000.0,2.5,213.8
J0952-0607,1.1e+34,1.41,4.76e-21,6.6500000000000005e+34,82900000.0,1.47,63.1
J0955-6150,4.36e+33,1.99,1.46e-20,7.33e+34,173000000.0,3.42,84.8
J1012-4235,9.32e+31,3.1,6.550000000000001e-21,8.68e+33,144000000.0,5.3,38.0
J1016-5857,8.38e+34,107.4,8.04e-14,2.56e+36,2970000000000.0,3.92,58.4
J1019-5749,3.8799999999999996e+35,162.51,2.01e-14,1.85e+35,1830000000000.0,5.82,18.1
J1024-0719,7.67e+32,5.16,1.86e-20,5.33e+33,313000000.0,2.57,102.6
J1028-5819,5.940000000000001e+34,91.4,1.42e-14,7.339999999999999e+35,1150000000000.0,3.99,1129.9
J1035-6720,4.81e+33,2.87,4.56e-20,7.62e+34,366000000.0,2.2,497.1
J1036-8317,2.29e+33,3.41,2.9e-20,2.88e+34,318000000.0,2.57,86.0
J1048+2339,1.02e+33,4.67,2.51e-20,9.729999999999999e+33,347000000.0,4.5,48.5
J1048-5832,1.8599999999999998e+35,123.71,9.55e-14,1.9899999999999998e+36,3480000000000.0,3.91,1178.8
J1055-6028,3.36e+34,99.66,1.09e-12,4.329999999999999e+37,10500000000000.0,3.9,40.9
J1057-5226,4.34e+33,197.11,5.84e-15,3.01e+34,1090000000000.0,1.51,12333.6
J1105-6107,1.56e+34,63.2,1.58e-14,2.48e+36,1010000000000.0,3.59,59.5
J1112-6103,5.33e+34,64.97,3.15e-14,4.54e+36,1450000000000.0,5.78,13.2
J1119-6127,3.71e+35,409.14,4.04e-12,2.33e+36,41200000000000.0,2.49,33.3
J1124-3653,1.46e+33,2.41,5.91e-21,1.67e+34,121000000.0,3.45,249.2
J1124-5916,1.6799999999999998e+35,135.54,7.51e-13,1.19e+37,10200000000000.0,4.08,344.2
